# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	255488
#@/user_id	1cfc3a97-9b12-4da7-829a-4855531e8276
a 	啊	c=1034 d=1.25136 t=255488
a 	阿	c=3 d=7.375e-07 t=255488
a a 	呵呵	c=28 d=0.0018734 t=255488
a a a 	啊啊啊	c=3 d=3.38826e-180 t=255488
a a a a 	啊啊啊啊	c=0 d=0 t=255488
a a a a a a a 	啊啊啊啊啊啊啊	c=1 d=0 t=255488
a di da si 	阿迪達斯	c=1 d=0.119433 t=255488
a li 	阿里	c=37 d=0.983894 t=255488
a li ba ba 	阿里巴巴	c=3 d=1.16041e-15 t=255488
a li ma ma 	阿里媽媽	c=1 d=0 t=255488
a li yun 	阿里雲	c=198 d=0.97531 t=255488
a ma ni 	阿媽妮	c=1 d=3.72083e-17 t=255488
a si 	阿斯	c=0 d=0 t=255488
a si dun 	阿斯頓	c=1 d=1.84182e-97 t=255488
a si niu niu 	阿斯牛牛	c=1 d=0 t=255488
a song 	阿送	c=1 d=2.56303e-14 t=255488
a tuo pin 	阿托品	c=1 d=0.0144076 t=255488
a yang 	啊樣	c=1 d=0 t=255488
a yi 	阿姨	c=2 d=4.63328e-09 t=255488
ai 	唉	c=9 d=6.5727e-05 t=255488
ai 	愛	c=12 d=0.0134524 t=255488
ai 	捱	c=1 d=0 t=255488
ai 	艾	c=1 d=1.22113e-203 t=255488
ai chuang 	矮牀	c=1 d=2.61659e-22 t=255488
ai de hua 	愛德華	c=1 d=0 t=255488
ai er lan ren 	愛爾蘭人	c=3 d=2.55255e-289 t=255488
ai guo 	愛國	c=3 d=1.91992e-16 t=255488
ai guo fu 	愛國福	c=1 d=8.0764e-17 t=255488
ai hao 	愛好	c=2 d=1.23516e-161 t=255488
ai kang 	愛康	c=1 d=3.3101e-82 t=255488
ai kong jian 	愛空間	c=3 d=0.00309861 t=255488
ai le 	捱了	c=1 d=4.53429e-49 t=255488
ai li bu li 	愛理不理	c=1 d=0.0161635 t=255488
ai ma ya 	愛媽呀	c=2 d=4.80726e-321 t=255488
ai mei 	愛美	c=19 d=1.1814e-20 t=255488
ai pu sheng 	愛普生	c=5 d=0.279431 t=255488
ai qi 	愛妻	c=0 d=2.84176e-53 t=255488
ai qi cha 	愛妻查	c=1 d=2.85601e-52 t=255488
ai qi yi 	愛奇異	c=6 d=5.36612e-60 t=255488
ai qi yi ti yu 	愛奇異體育	c=1 d=0 t=255488
ai qi yi zhan 	愛奇異站	c=1 d=0 t=255488
ai ren 	愛人	c=1 d=0 t=255488
ai shi 	礙事	c=1 d=5.6515e-287 t=255488
ai shu cong 	矮樹叢	c=1 d=1.48778e-115 t=255488
ai ta 	愛他	c=1 d=0.000728153 t=255488
ai zhe 	挨着	c=11 d=2.1024e-18 t=255488
ai zou 	捱揍	c=2 d=4.88163e-35 t=255488
an 	安	c=1 d=1.47794e-37 t=255488
an 	岸	c=1 d=5.25199e-13 t=255488
an 	按	c=186 d=0.715338 t=255488
an 	暗	c=2 d=5.18699e-176 t=255488
an 	案	c=2 d=8.05803e-49 t=255488
an an 	安安	c=2 d=0 t=255488
an de le 	安德肋	c=0 d=0.00293049 t=255488
an fu 	安撫	c=1 d=2.60614e-210 t=255488
an hui 	安徽	c=2 d=1.42304e-121 t=255488
an ju ke 	安居客	c=3 d=1.2793e-17 t=255488
an kao qin 	按考勤	c=1 d=0 t=255488
an le 	按了	c=1 d=3.34269e-109 t=255488
an li 	按理	c=2 d=6.72982e-312 t=255488
an li 	案例	c=4 d=0 t=255488
an li shuo 	按理說	c=1 d=8.76674e-217 t=255488
an mu 	桉木	c=1 d=3.49371e-217 t=255488
an mu lu 	按目錄	c=1 d=0.0642483 t=255488
an ni 	安妮	c=1 d=8.76723e-12 t=255488
an nian 	按年	c=3 d=8.63531e-157 t=255488
an niu 	按鈕	c=44 d=1.00572 t=255488
an pai 	安排	c=9 d=5.87485e-08 t=255488
an ping 	安平	c=1 d=0 t=255488
an qi 	按期	c=2 d=3.07817e-286 t=255488
an qing 	安慶	c=1 d=6.60148e-262 t=255488
an quan 	安全	c=56 d=0.000262568 t=255488
an quan gan 	安全感	c=1 d=9.23244e-32 t=255488
an quan xing 	安全性	c=1 d=7.52911e-15 t=255488
an shi 	按時	c=6 d=1.38116e-05 t=255488
an ta 	安踏	c=1 d=0.12307 t=255488
an tian 	按天	c=8 d=1.30961e-85 t=255488
an wei 	安慰	c=0 d=2.73321e-36 t=255488
an wei kong 	安慰空	c=1 d=2.74691e-35 t=255488
an wen jian 	按文件	c=1 d=0 t=255488
an xu 	按需	c=3 d=0.579842 t=255488
an ying 	岸英	c=1 d=2.4305e-07 t=255488
an yue 	按月	c=4 d=3.63897e-20 t=255488
an zhao 	按照	c=34 d=0.000629868 t=255488
an zhao chang gui 	按照常規	c=1 d=0 t=255488
an zhao shi ji 	按照實際	c=1 d=1.92686e-322 t=255488
an zhe 	按着	c=1 d=2.99988e-42 t=255488
an zhe ge 	按這個	c=1 d=7.78947e-297 t=255488
an zhuang 	安裝	c=163 d=0.395817 t=255488
an zhuang le 	安裝了	c=1 d=0 t=255488
an zhuo 	安卓	c=1 d=9.13902e-30 t=255488
ao 	凹	c=1 d=8.59628e-45 t=255488
ao 	奧	c=4 d=5.60071e-34 t=255488
ao 	熬	c=2 d=4.52633e-234 t=255488
ao cao 	凹槽	c=1 d=1.69036e-205 t=255488
ao da li ya 	澳大利亞	c=1 d=1.01861e-11 t=255488
ao dai li 	奧黛麗	c=1 d=3.77425e-67 t=255488
ao dao 	熬到	c=2 d=1.61977e-115 t=255488
ao de 	傲地	c=1 d=5.32286e-53 t=255488
ao hui 	懊悔	c=0 d=4.94497e-70 t=255488
ao te lai si 	奧特萊斯	c=2 d=1.29834e-05 t=255488
ao xian 	凹陷	c=1 d=0 t=255488
ao ye 	熬夜	c=1 d=3.30844e-223 t=255488
ao you 	傲遊	c=0 d=1.92613e-07 t=255488
ao you liu lan qi 	傲遊瀏覽器	c=1 d=1.93578e-06 t=255488
ao yun hui 	奧運會	c=1 d=2.29051e-15 t=255488
ba 	八	c=3 d=2.97307e-54 t=255488
ba 	吧	c=2644 d=2.94551 t=255488
ba 	巴	c=1 d=0 t=255488
ba 	把	c=660 d=1.1412 t=255488
ba 	拔	c=3 d=1.23234e-46 t=255488
ba 	爸	c=5 d=6.89281e-35 t=255488
ba ba 	巴巴	c=5 d=6.43338e-47 t=255488
ba ba 	爸爸	c=9 d=0.0623495 t=255488
ba bao cai 	八寶菜	c=1 d=2.2351e-21 t=255488
ba bao shan 	八寶山	c=1 d=0 t=255488
ba bu 	八部	c=1 d=9.52819e-50 t=255488
ba bu 	巴布	c=0 d=1.50058e-11 t=255488
ba bu dou 	巴布豆	c=5 d=3.06214e-10 t=255488
ba dao 	霸道	c=1 d=0 t=255488
ba dian 	八點	c=6 d=4.20009e-111 t=255488
ba dian ban 	八點半	c=1 d=0 t=255488
ba er ren 	吧二人	c=1 d=8.64035e-252 t=255488
ba ge da 	巴格達	c=0 d=9.14368e-37 t=255488
ba guan 	把關	c=1 d=1.01081e-97 t=255488
ba hao 	八號	c=6 d=5.19514e-33 t=255488
ba hao xian 	八號線	c=1 d=5.22118e-32 t=255488
ba jie 	八戒	c=2 d=1.78283e-30 t=255488
ba jin zhi 	八進制	c=1 d=5.02585e-54 t=255488
ba jiu 	八九	c=2 d=3.39065e-12 t=255488
ba jiu bu li shi 	八九不離十	c=1 d=8.60799e-61 t=255488
ba kai 	扒開	c=1 d=0 t=255488
ba kong 	把控	c=1 d=1.21301e-154 t=255488
ba le 	拔了	c=1 d=9.05469e-303 t=255488
ba le pi 	拔了皮	c=1 d=0 t=255488
ba li 	巴黎	c=1 d=1.09529e-12 t=255488
ba li zhuang 	八里莊	c=25 d=7.10295e-06 t=255488
ba ling 	霸凌	c=0 d=0.000514361 t=255488
ba ni 	把你	c=1 d=0 t=255488
ba po 	八婆	c=0 d=2.02557e-11 t=255488
ba qi 	霸氣	c=0 d=1.07877e-40 t=255488
ba qing 	巴青	c=1 d=0 t=255488
ba se 	巴銫	c=1 d=0 t=255488
ba se 	爸銫	c=1 d=0.036334 t=255488
ba shou 	把手	c=7 d=1.74849e-191 t=255488
ba tian 	霸天	c=0 d=2.61392e-11 t=255488
ba tong xian 	八通線	c=2 d=1.32561e-22 t=255488
ba wang 	霸王	c=1 d=0 t=255488
ba wang bie ji 	霸王別姬	c=1 d=4.9026e-56 t=255488
ba wang can 	吧忘餐	c=1 d=0 t=255488
ba wang can 	霸王餐	c=1 d=0 t=255488
ba wei 	八位	c=2 d=4.78868e-07 t=255488
ba wo 	把我	c=2 d=3.69586e-26 t=255488
ba xia lai 	拔下來	c=1 d=3.25672e-126 t=255488
ba ya 	拔牙	c=3 d=5.64061e-300 t=255488
ba yao shi 	把鑰匙	c=0 d=3.85783e-61 t=255488
ba yue 	八月	c=1 d=0 t=255488
ba zhang 	巴掌	c=2 d=5.56862e-84 t=255488
bai 	佰	c=1 d=0.060205 t=255488
bai 	白	c=22 d=0.147342 t=255488
bai 	百	c=1 d=0.0101774 t=255488
bai ban 	白板	c=2 d=1.01527e-247 t=255488
bai bian 	白邊	c=2 d=4.08207e-107 t=255488
bai bu 	百步	c=1 d=5.02088e-13 t=255488
bai cai 	白菜	c=2 d=9.97047e-25 t=255488
bai chi 	白吃	c=1 d=2.53874e-49 t=255488
bai chi 	白癡	c=1 d=9.93458e-12 t=255488
bai di 	白底	c=5 d=1.7658e-13 t=255488
bai dian feng 	白癜風	c=1 d=0.0026189 t=255488
bai du 	百度	c=52 d=0.548345 t=255488
bai du shu ru fa 	百度輸入法	c=2 d=8.27945e-15 t=255488
bai du yun 	百度雲	c=5 d=0.0275983 t=255488
bai fen 	百分	c=1 d=0 t=255488
bai fen bi 	百分比	c=4 d=5.47861e-10 t=255488
bai guang 	白光	c=1 d=6.37613e-177 t=255488
bai he 	百合	c=2 d=5.84087e-18 t=255488
bai hu 	白狐	c=2 d=1.95372e-48 t=255488
bai huai 	敗壞	c=1 d=0 t=255488
bai jia 	敗家	c=2 d=0.722527 t=255488
bai jing 	白靜	c=1 d=0.0183156 t=255488
bai ke 	百科	c=3 d=0.0029528 t=255488
bai lang zhen 	白浪鎮	c=1 d=1.05288e-18 t=255488
bai le 	擺了	c=0 d=0 t=255488
bai lin 	柏林	c=2 d=1.63167e-252 t=255488
bai lu yuan 	白鹿原	c=12 d=0.000818308 t=255488
bai ming 	百名	c=0 d=6.80544e-33 t=255488
bai ming dan 	百名單	c=12 d=6.76298e-09 t=255488
bai na 	百衲	c=1 d=2.91687e-06 t=255488
bai nian 	百年	c=1 d=1.25599e-05 t=255488
bai piao 	白票	c=1 d=2.56069e-62 t=255488
bai qian 	佰仟	c=1 d=0.0939493 t=255488
bai ren 	白人	c=1 d=0.0168231 t=255488
bai rong 	百融	c=35 d=0.0115299 t=255488
bai se 	白色	c=30 d=0.0531307 t=255488
bai se zhuan 	白色賺	c=1 d=1.00253e-206 t=255488
bai sha zhou 	白沙洲	c=1 d=8.46315e-126 t=255488
bai she 	白蛇	c=1 d=0 t=255488
bai shi 	百事	c=2 d=2.92691e-17 t=255488
bai shi 	百十	c=1 d=1.00222e-174 t=255488
bai shi kuai di 	百事快遞	c=1 d=1.84639e-38 t=255488
bai shi li 	百十裏	c=1 d=1.00725e-173 t=255488
bai si 	白絲	c=10 d=0.0944608 t=255488
bai su 	敗訴	c=1 d=4.10014e-12 t=255488
bai tang 	白糖	c=1 d=5.21657e-51 t=255488
bai tian 	百天	c=2 d=1.35147e-14 t=255488
bai tou fa 	白頭髮	c=1 d=3.93937e-12 t=255488
bai wan 	百萬	c=1 d=2.72311e-109 t=255488
bai wang 	百望	c=5 d=4.0929e-50 t=255488
bai wang yun 	百望雲	c=1 d=3.57595e-226 t=255488
bai xiang guo 	百香果	c=1 d=0.0139818 t=255488
bai xue 	白雪	c=1 d=3.72134e-48 t=255488
bai yan 	白眼	c=1 d=0 t=255488
bai yi 	白衣	c=2 d=0.810584 t=255488
bai yun shan 	白雲山	c=1 d=4.70251e-07 t=255488
bai zhan ting 	拜占庭	c=1 d=9.785e-10 t=255488
bai zhi 	白紙	c=1 d=8.94282e-10 t=255488
bai zi wan 	百子灣	c=1 d=1.57711e-242 t=255488
ban 	半	c=10 d=0.121846 t=255488
ban 	搬	c=4 d=1.1205e-16 t=255488
ban 	板	c=7 d=1.47282e-55 t=255488
ban 	版	c=52 d=0.00275403 t=255488
ban 	班	c=18 d=0.142987 t=255488
ban 	般	c=1 d=3.83291e-307 t=255488
ban 	辦	c=76 d=0.142254 t=255488
ban bao 	半包	c=8 d=1.00308e-05 t=255488
ban ben 	版本	c=216 d=0.995012 t=255488
ban ben bi bi bo bo ba 	版本必必剝剝吧	c=1 d=0 t=255488
ban ben hao 	版本號	c=3 d=1.41359e-219 t=255488
ban ben hua 	版本話	c=1 d=0 t=255488
ban bu 	頒佈	c=1 d=5.78589e-240 t=255488
ban cai 	板材	c=7 d=9.30115e-31 t=255488
ban che 	班車	c=2 d=0 t=255488
ban cheng pin 	半成品	c=3 d=0.697676 t=255488
ban chu qu 	搬出去	c=1 d=0 t=255488
ban dao 	搬到	c=2 d=0 t=255488
ban di xia shi 	辦地下室	c=1 d=4.85315e-25 t=255488
ban fa 	辦法	c=47 d=0.10383 t=255488
ban feng jian 	半封建	c=1 d=3.04305e-63 t=255488
ban ge 	半個	c=16 d=1.69276e-16 t=255488
ban ge 	辦個	c=4 d=9.83907e-16 t=255488
ban ge yue 	半個月	c=2 d=0 t=255488
ban gong 	辦公	c=15 d=1.21007e-08 t=255488
ban gong di 	辦公地	c=1 d=1.21516e-263 t=255488
ban gong shi 	辦公室	c=4 d=1.49203e-31 t=255488
ban gong yong pin 	辦公用品	c=1 d=0 t=255488
ban guo 	搬過	c=0 d=2.1372e-142 t=255488
ban guo qu 	搬過去	c=1 d=2.14792e-141 t=255488
ban hao 	辦好	c=3 d=3.50403e-46 t=255488
ban hui 	半會	c=2 d=3.89822e-153 t=255488
ban hun li 	半婚禮	c=1 d=1.98749e-22 t=255488
